barcode,parcel_plot,parcel_spalte,parcel_reihe,parcel_r4s,plant_weight_g,plant_weight_kg,n_plants,plant_weight_per_plant_g,observations,plot_trap_disassemble,larvae_in_tray_manual,tray_observation
Plot256_Spalte5_Reihe16_R4S_229_,256,5,16,229,437.0,0.437,10,43.7,,256,12i,
Plot257_Spalte5_Reihe17_R4S_553_,257,5,17,553,13.0,0.013,7,1.8571428571428568,very little plants,257,0,
Plot258_Spalte5_Reihe18_R4S_312_,258,5,18,312,416.0,0.416,10,41.6,,258,2 inside,
Plot259_Spalte5_Reihe19_R4S_252_,259,5,19,252,151.0,0.151,11,13.727272727272728,,259,17,very small
Plot260_Spalte5_Reihe20_R4S_231_,260,5,20,231,318.0,0.318,10,31.8,,260,0,
Plot261_Spalte5_Reihe21_R4S_540_,261,5,21,540,699.0,0.699,11,63.545454545454554,,261,0,
Plot262_Spalte5_Reihe22_R4S_223_,262,5,22,223,291.0,0.291,10,29.1,,262,4i,
Plot263_Spalte5_Reihe23_R4S_424_,263,5,23,424,121.0,0.121,9,13.444444444444445,,263,0,
Plot264_Spalte5_Reihe24_R4S_235_,264,5,24,235,378.0,0.378,10,37.8,,264,0,
Plot265_Spalte5_Reihe25_R4S_283_,265,5,25,283,635.0,0.635,10,63.5,root with central damage (larvae?,265,0,
Plot266_Spalte5_Reihe26_R4S_188_,266,5,26,188,661.0,0.661,11,60.090909090909086,,266,0,
Plot267_Spalte5_Reihe27_R4S_277_,267,5,27,277,162.0,0.162,10,16.2,,267,0,
Plot268_Spalte5_Reihe28_R4S_514_,268,5,28,514,429.0,0.429,9,47.66666666666666,,268,0,
Plot269_Spalte5_Reihe29_R4S_444_,269,5,29,444,152.0,0.152,10,15.2,,269,0,
Plot270_Spalte5_Reihe30_R4S_145_,270,5,30,145,627.0,0.627,9,69.66666666666667,,270,0,
Plot271_Spalte5_Reihe31_R4S_466_,271,5,31,466,562.0,0.562,10,56.2,,271,0,
Plot272_Spalte5_Reihe32_R4S_245_,272,5,32,245,707.0,0.707,10,70.7,,272,0,
Plot273_Spalte5_Reihe33_R4S_218_,273,5,33,218,592.0,0.592,11,53.81818181818182,,273,1,
Plot274_Spalte5_Reihe34_R4S_230_,274,5,34,230,229.0,0.229,10,22.9,,274,0,
Plot275_Spalte5_Reihe35_R4S_463_,275,5,35,463,240.0,0.24,10,24.0,,275,11i,
Plot276_Spalte5_Reihe36_R4S_465_,276,5,36,465,205.0,0.205,11,18.63636363636364,,276,13i,
Plot277_Spalte5_Reihe37_R4S_153_,277,5,37,153,760.0,0.76,11,69.0909090909091,,277,1i,
Plot278_Spalte5_Reihe38_R4S_449_,278,5,38,449,281.0,0.281,10,28.1,,278,5i,
Plot279_Spalte5_Reihe39_R4S_378_,279,5,39,378,407.0,0.407,12,33.916666666666664,,279,0,
Plot280_Spalte5_Reihe40_R4S_227_,280,5,40,227,418.0,0.418,10,41.8,,280,0,
Plot281_Spalte5_Reihe41_R4S_202_,281,5,41,202,413.0,0.413,10,41.3,,281,0,
Plot282_Spalte5_Reihe42_R4S_524_,282,5,42,524,707.0,0.707,10,70.7,,282,0,
Plot283_Spalte5_Reihe43_R4S_222_,283,5,43,222,616.0,0.616,10,61.6,,283,0,
Plot284_Spalte5_Reihe44_R4S_393_,284,5,44,393,239.0,0.239,8,29.875,,284,6i,
Plot285_Spalte5_Reihe45_R4S_306_,285,5,45,306,392.0,0.392,10,39.2,,285,0,
Plot286_Spalte5_Reihe46_R4S_293_,286,5,46,293,177.0,0.177,10,17.7,,286,0,
Plot287_Spalte5_Reihe47_R4S_320_,287,5,47,320,28.0,0.028,10,2.8,,287,0,
Plot288_Spalte5_Reihe48_R4S_447_,288,5,48,447,321.0,0.321,11,29.181818181818183,,288,0,
Plot289_Spalte5_Reihe49_R4S_193_,289,5,49,193,371.0,0.371,10,37.1,,289,31i,
Plot290_Spalte5_Reihe50_R4S_356_,290,5,50,356,311.0,0.311,11,28.272727272727277,,290,0,
Plot291_Spalte5_Reihe51_R4S_456_,291,5,51,456,388.0,0.388,10,38.8,,291,1 inside,
Plot292_Spalte5_Reihe52_R4S_516_,292,5,52,516,569.0,0.569,11,51.72727272727273,,292,4i,
Plot293_Spalte5_Reihe53_R4S_383_,293,5,53,383,251.0,0.251,10,25.1,,293,2i,
Plot294_Spalte5_Reihe54_R4S_232_,294,5,54,232,335.0,0.335,10,33.5,,294,0,
Plot295_Spalte5_Reihe55_R4S_171_,295,5,55,171,494.0,0.494,11,44.90909090909091,,295,0,
Plot296_Spalte5_Reihe56_R4S_332_,296,5,56,332,147.0,0.147,10,14.7,,296,0,
Plot297_Spalte5_Reihe57_R4S_429_,297,5,57,429,361.0,0.361,10,36.1,,297,0,
Plot298_Spalte5_Reihe58_R4S_228_,298,5,58,228,397.0,0.397,9,44.11111111111112,,298,18i,
Plot299_Spalte5_Reihe59_R4S_272_,299,5,59,272,404.0,0.404,10,40.4,,299,10i,
Plot300_Spalte5_Reihe60_R4S_180_,300,5,60,180,436.0,0.436,10,43.6,,300,2,
